SKU,Product Name
920031,LTE Antenna
925003,"916MHz Antenna, 868MHz Antenna
 Original Helium Hotspot Antenna/853-883MHz"
926000,"916MHz Antenna, 868MHz Antenna
 Original Helium Hotspot Antenna/900-930MHz"
920039,GPS Antenna
920004,WiFi Antenna
921006,Magnetic Base Monopole Antenna/433Mhz
922006,Magnetic Base Monopole Antenna/470-510Mhz
925010,Magnetic Base Monopole Antenna/860-930MHz
925002,PCB Antenna for LoRa/860-930MHz
921002,"3dBi SubG Antenna
 (Antenna for LoRa®)/433Mhz"
922002,"3dBi SubG Antenna
 (Antenna for LoRa®)/470-510Mhz"
925006,"3dBi SubG Antenna
 (Antenna for LoRa®)/860-930MHz"
921005,"2dBi SubG Antenna
 (Antenna for LoRa®)/433MHZ"
922005,"2dBi SubG Antenna
 (Antenna for LoRa®)/470-510MHZ"
925009,"2dBi SubG Antenna
 (Antenna for LoRa®)/860-868MHZ"
926003,"2dBi SubG Antenna
 (Antenna for LoRa®)/915-930MHZ"
920030,LTE Antenna 2dBi
920044,16GB TF Card
920043,Acrylic Cover
920026,Pilot Gateway Pro Enclosure Holders
920003,WisConnector/10pcs 24-Pin Male / Header ($0.45/10pcs)
920001,WisConnector/10pcs 40-Pin Male / Header ($0.75/10pcs)
920002,WisConnector/10pcs 24-Pin Female / Socket ($0.45/10pcs)
920000,WisConnector/10pcs 40-Pin Female / Socket ($0.75/10pcs)
920029,mPCIe to USB Board
920034,iPEX to RP-SMA Connector
920035,iPEX to N-Type LoRa/LTE Antenna Connector
920037,iPex to N-Type Cable
920008,RP-SMA to N-Type Cable
920036,iPEX to N-Type GPS Antenna Connector
920042,Antenna Magnetic Base
920025,Antenna Feeder Line/1.5m Antenna Feeder Line
920066,Antenna Feeder Line/3m Antenna Feeder Line
920067,Antenna Feeder Line/5m Antenna Feeder Line
920069,Ethernet Cable Gland
920040,CAT5 Ethernet Cable
920021,Power Adapter/AU Standard (Plug Type)
920018,Power Adapter/US Standard (Plug Type)
920020,Power Adapter/South Africa
920017,Power Adapter/EU Standard (Plug Type)
920019,Power Adapter/UK Standard (Plug Type)
920016,Screwdriver for WisBlock/Premium Screwdriver
920041,Screwdriver for WisBlock/Automatic Screwdriver
920005,Solar Kit
920038,Hologram Global IoT SIM Card
920007,Rubber Belt for WisNode Track Lite
920006,Signal Surge Protective Device
910024,PLC Transformer
819004,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/AS923
817004,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/AU915
815004,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/EU868
814004,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/IN865
818004,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/KR920
813001,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/RU864
816004,RAK Discover Kit 2/2GB RPi4 (Memory Storage)/US915
819003,RAK Discover Kit/AS923
817003,RAK Discover Kit/AU915
812003,RAK Discover Kit/CN470
811003,RAK Discover Kit/EU433
815003,RAK Discover Kit/EU868
814003,RAK Discover Kit/IN865
818003,RAK Discover Kit/KR920
813000,RAK Discover Kit/RU864
816003,RAK Discover Kit/US915
110009,WisBlock Base Board/RAK5005-O
815012,WisBlock Connected Box /EU868
814007,WisBlock Connected Box /IN865
816007,WisBlock Connected Box /US915
817007,WisBlock Connected Box /AU915
818007,WisBlock Connected Box /KR920
819007,WisBlock Connected Box /AS923
816008,Helium developer kit/US915
110016,WisBlock Infrared Temperature Sensor Module/RAK12500
100015,WisBlock Infrared Temperature Sensor Module/RAK12003
100017,WisBlock EEPROM Module Datasheet/RAK15000
100018,WisBlock Boost module/RAK19002
100019,WisBlock Buzzer module/RAK18001
100020,WisBlock Microphone module/RAK18000
100022,WisBlock Flash module/RAK15001
110021,WisBlock EPD Module/RAK14000/WITHE-BLACK
110024,WisBlock EPD Module/RAK14000/WITHE-BLACK-RED
110023,WisBlock WisCore ESP32 Module kit/RAK11200
815006,WisBlock Kit 1/Weather Monitor/H
815007,WisBlock Kit 2/LoRa-based GPS Tracker with Solar Panel/H
815008,WisBlock Kit 3/LoRa-based GPS Tracker/H
815009,WisBlock Kit 4/Air quality Monitor/H
815010,WisBlock Kit/The complete starter kit for WisBlock/Premium Screwdriver (Scredriver Option)/EU868
814005,WisBlock Kit/The complete starter kit for WisBlock/Premium Screwdriver (Scredriver Option)/IN865
816005,WisBlock Kit/The complete starter kit for WisBlock/Premium Screwdriver (Scredriver Option)/US915
817005,WisBlock Kit/The complete starter kit for WisBlock/Premium Screwdriver (Scredriver Option)/AU915
818005,WisBlock Kit/The complete starter kit for WisBlock/Premium Screwdriver (Scredriver Option)/KR920
819005,WisBlock Kit/The complete starter kit for WisBlock/Premium Screwdriver (Scredriver Option)/AS923
815011,WisBlock Kit/The complete starter kit for WisBlock/Automatic Screwdriver (Scredriver Option)/EU868
814006,WisBlock Kit/The complete starter kit for WisBlock/Automatic Screwdriver (Scredriver Option)/IN865
816006,WisBlock Kit/The complete starter kit for WisBlock/Automatic Screwdriver (Scredriver Option)/US915
817006,WisBlock Kit/The complete starter kit for WisBlock/Automatic Screwdriver (Scredriver Option)/AU915
818006,WisBlock Kit/The complete starter kit for WisBlock/Automatic Screwdriver (Scredriver Option)/KR920
819006,WisBlock Kit/The complete starter kit for WisBlock/Automatic Screwdriver (Scredriver Option)/AS923
815005,WisBlock Starter Kit /WisBlock basic kit/H
115000,WisBlock LPWAN Module/RAK4631
110007,WisBlock GNSS Location Module/RAK1910
110000,WisBlock Wi-Fi Interface Module/RAK2305
110006,WisBlock IO Extension board/RAK5804
110005,WisBlock NB-IoT Interface Module/RAK5860
910072,PoE Injector/AU (Plug Standard)
910076,PoE Injector/China (Plug Standard)
910073,PoE Injector/EU (Plug Standard)
910075,PoE Injector/Italy (Plug Standard)
910074,PoE Injector/South Africa (Plug Standard)
910070,PoE Injector/UK (Plug Standard)
910071,PoE Injector/US (Plug Standard)
20000,RAK Baseball Cap
911003,3dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/433MHz
912003,3dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/470-510MHz
915007,3dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/860-930MHz
911004,3dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/433MHz
912004,3dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/470-510MHz
915008,3dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/860-930MHz
911000,5.8dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/White (Antenna Color)/433MHz
912000,5.8dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/White (Antenna Color)/470-510MHz
915004,5.8dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/White (Antenna Color)/860-930MHz
911001,5.8dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/White (Antenna Color)/433MHz
912001,5.8dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/White (Antenna Color)/470-510MHz
915005,5.8dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/White (Antenna Color)/860-930MHz
910032,Lightning Arrestor for GPS Antenna
910033,Lightning Arrestor
910009,"RAKDAP1
 Debug and Flash Tool"
916001,8dBi Fiber Glass Antenna/N-Type to RP-SMA (Connector Type)/900-930MHz
916002,8dBi Fiber Glass Antenna/N-Type to iPEX (Connector Type)/900-930MHz
915001,8dBi Fiber Glass Antenna/N-Type to RP-SMA (Connector Type)/858-878MHz
915000,8dBi Fiber Glass Antenna/N-Type to iPEX (Connector Type)/858-878MHz
910081,5.8dBi Fiberglass Antenna/N-Type to RP-SMA (Connector Type)/Black (Antenna Color)/860-930MHz
910082,5.8dBi Fiberglass Antenna/N-Type to iPEX (Connector Type)/Black (Antenna Color)/860-930MHz
910077,Antenna Mounting Kit/L-type wall mounting pole
910078,Antenna Mounting Kit/U-shaped hoisting pole
910079,Antenna Mounting Kit/Large U-shaped hoisting pole
910080,Antenna Mounting Kit/I-Shaped vertical mounting rod
910027,Outdoor Gateway Enclosure/5x N-Type Antenna Connectors
910068,Outdoor Gateway Enclosure/TeamPrecision定制
A10000,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/UK (Plug Standard)
A10002,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/AU (Plug Standard)
A10001,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/US (Plug Standard)
A10004,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/South Africa (Plug Standard)
A10003,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/EU (Plug Standard)
A10005,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/Italy (Plug Standard)
A10006,Outdoor Enclosure for Gateway/RAK Hotspot Miner (Device Compatibility)/China (Plug Standard)
910054,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/AU (Plug Standard)
910053,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/US (Plug Standard)
910056,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/South Africa (Plug Standard)
910055,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/EU (Plug Standard)
910057,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/Italy (Plug Standard)
910052,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/UK (Plug Standard)
910058,Outdoor Enclosure for Gateway/WisGate Developer D4+ (RAK7244C)/China (Plug Standard)
910061,Outdoor Enclosure for Gateway/WisGate Developer D4P (RAK7244P)/AU (Plug Standard)
